ID,Age_Group,Gender,Condition,Advice,Deck,Avg_Change
91,Older,Female,Bad,A,B,102.9461303
92,Older,Male,Bad,B,B,110.9325655
93,Older,Male,None,None,B,96.18194781
94,Older,Male,Bad,A,B,101.8779076
95,Older,Male,Bad,B,B,76.1013326
96,Older,Male,None,None,B,72.80517543
97,Older,Male,Bad,A,B,81.01595715
98,Older,Male,Bad,B,B,108.7924916
99,Older,Female,Bad,None,B,71.53887579
100,Older,Male,Bad,A,B,85.53449009
101,Older,Female,Bad,B,B,94.60391915
102,Older,Female,None,None,B,139.5143801
104,Older,Female,Bad,B,B,89.9264705
105,Older,Male,None,None,B,104.276242
106,Older,Female,Bad,A,B,99.95121633
118,Older,Female,None,None,B,86.58557552
119,Older,Male,Bad,A,B,103.4912166
120,Older,Female,Bad,B,B,71.01719564
121,Older,Female,None,None,B,51.25257863
124,Older,Female,None,None,B,94.97072672
125,Older,Female,None,None,B,97.28616785
127,Older,Female,Bad,A,B,62.66307141
126,Older,Female,Bad,B,B,77.24961351
